cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9,cluster_2_10,similarity_10
0,0,0.760975288264698,1,0.972486349207017,2,0.759588233007761,3,0.9239752476237476,4,0.6394371633684444,5,0.9770185489670974,6,0.7867199724201563,7,0.8634504038041498,8,0.8771460994088176,9,0.69147988829781,10,0.8517204117536119
1,0,0.9708210348905907,1,0.6836889618308645,2,0.46323187816595857,3,0.9409586182562396,4,0.645504252227096,5,0.747679977550038,6,0.9668608208302024,7,0.8596283653902433,8,0.70225417588425,9,0.8058005047270569,10,0.6243139650438745
2,0,0.9185271133950662,1,0.867203099358045,2,0.6412670858792585,3,0.9950793895210601,4,0.6750526136705871,5,0.9030270277630177,6,0.9463525811418165,7,0.9131324424584091,8,0.8270916170189386,9,0.7924390057043738,10,0.7685852028380752
3,0,0.5577132758082053,1,0.6884226809878207,2,0.9669491612421253,3,0.6525117435065068,4,0.8304292173977651,5,0.820139819074224,6,0.4022068889430058,7,0.7892075206013903,8,0.9096660453037697,9,0.7114252861925319,10,0.48625013855180166
4,0,0.7231555802020376,1,0.44123307359352504,2,0.8500810206642642,3,0.6499027360458876,4,0.9885799230955702,5,0.6931389714400746,6,0.4300030233960258,7,0.8502476897990212,8,0.863597407782791,9,0.9266788170367346,10,0.15435092529368133
5,0,0.9317981149940447,1,0.6285270031262579,2,0.778252562542259,3,0.8816676728205037,4,0.9383440732656885,5,0.8282806995981715,6,0.7392340818293579,7,0.9728326118315144,8,0.9131826102313426,9,0.9789023481333491,10,0.41068787483104086
6,0,0.8262750813513979,1,0.7913438816852489,2,0.9139181204880137,3,0.8764077979611985,4,0.9181218112044658,5,0.9440128377020034,6,0.669311571900923,7,0.9699974304651582,8,0.9943733529106002,9,0.9025115589629105,10,0.5522614591197342
7,0,0.7015329194383921,1,0.9144843137806216,2,0.9125945239193739,3,0.8450050722117705,4,0.7862745025656535,5,0.9849422769055001,6,0.6232011649241279,7,0.8908328065966787,8,0.9628783101616739,9,0.758409563786164,10,0.6985311502698058
8,0,0.9417660567607852,1,0.8074591552767332,2,0.7832748535870498,3,0.9641844600478788,4,0.8593666883096546,5,0.9361236649242104,6,0.8348306278568081,7,0.9934039498461352,8,0.9417501696229323,9,0.9241227262158697,10,0.6309408104872363
9,0,0.986112082042714,1,0.6099589719282993,2,0.5954966917166195,3,0.9154078951556681,4,0.813125684346086,5,0.7689255853071963,6,0.8583709852187874,7,0.9318759190576873,8,0.8062712213008151,9,0.9270887095776544,10,0.4642214123395938
