cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9
0,0,0.0,1,10.449190146750292,2,7.680220463746983,3,10.07619061342717,4,8.297433479065104,5,7.017242763465623,6,6.438289893704282,7,4.017787610119016,8,14.822129869372185,9,15.196523234453819
1,0,10.449190146750292,1,0.0,2,8.63966369808305,3,5.33819904891674,4,4.290490952423159,5,3.786787762871159,6,8.46569250389952,7,6.948054864880788,8,5.366700376659627,9,15.388121888698775
2,0,7.680220463746983,1,8.63966369808305,2,0.0,3,11.718833374519516,4,4.608578988508308,5,7.580481447000903,6,10.926712864390632,7,5.738833116662982,8,13.682444096144671,9,20.037036625643037
3,0,10.07619061342717,1,5.33819904891674,2,11.718833374519516,3,0.0,4,8.086747554233584,5,4.546391671277828,6,5.839724378041192,7,7.953369838656966,8,6.637304732525424,9,11.17182281425921
4,0,8.297433479065104,1,4.290490952423159,2,4.608578988508308,3,8.086747554233584,4,0.0,5,4.23021334767828,6,8.929730542492575,7,4.6848039568717565,8,9.530167409286856,9,17.596176666147755
5,0,7.017242763465623,1,3.786787762871159,2,7.580481447000903,3,4.546391671277828,4,4.23021334767828,5,0.0,6,5.117017748131312,7,3.9116216015049576,8,8.207596281376489,9,13.764857813583657
6,0,6.438289893704282,1,8.46569250389952,2,10.926712864390632,3,5.839724378041192,4,8.929730542492575,5,5.117017748131312,6,0.0,7,5.948773887642185,8,11.366179073116774,9,11.071151278485148
7,0,4.017787610119016,1,6.948054864880788,2,5.738833116662982,3,7.953369838656966,4,4.6848039568717565,5,3.9116216015049576,6,5.948773887642185,7,0.0,8,11.732606483175733,9,15.447988186372577
8,0,14.822129869372185,1,5.366700376659627,2,13.682444096144671,3,6.637304732525424,4,9.530167409286856,5,8.207596281376489,6,11.366179073116774,7,11.732606483175733,8,0.0,9,15.160923582158166
9,0,15.196523234453819,1,15.388121888698775,2,20.037036625643037,3,11.17182281425921,4,17.596176666147755,5,13.764857813583657,6,11.071151278485148,7,15.447988186372577,8,15.160923582158166,9,0.0
