cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9
0,0,1.0,1,0.6619325568977575,2,0.8183552445298922,3,0.683586921013106,4,0.7825580574497432,5,0.8427760563449814,6,0.8737929665533876,7,0.951469874643504,8,0.4120218729231222,9,0.6047644903679132
1,0,0.6619325568977575,1,1.0,2,0.756710585376844,3,0.9061089758308772,4,0.9383922383191485,5,0.9523948082933097,6,0.7694982647007108,7,0.8382051056453862,8,0.9284905642293044,9,0.5889884637205391
2,0,0.8183552445298922,1,0.756710585376844,2,1.0,3,0.5487763976302573,4,0.9291568381765067,5,0.8006446283588206,6,0.6170298472402284,7,0.8901563426501458,8,0.48051562193288166,9,0.23950908388221892
3,0,0.683586921013106,1,0.9061089758308772,2,0.5487763976302573,3,1.0,4,0.7778474117364351,5,0.9287814864533223,6,0.889646438435449,7,0.7859535001098861,8,0.885420732349602,9,0.8289370942178771
4,0,0.7825580574497432,1,0.9383922383191485,2,0.9291568381765067,3,0.7778474117364351,4,1.0,5,0.9357975049759664,6,0.736323076918024,7,0.9239326135569598,8,0.7494029562452725,9,0.4272660192411595
5,0,0.8427760563449814,1,0.9523948082933097,2,0.8006446283588206,3,0.9287814864533223,4,0.9357975049759664,5,1.0,6,0.9133112899645501,7,0.9457226614275634,8,0.8179039733434084,9,0.6949747238594167
6,0,0.8737929665533876,1,0.7694982647007108,2,0.6170298472402284,3,0.889646438435449,4,0.736323076918024,5,0.9133112899645501,6,1.0,7,0.8839118552666109,8,0.6474620833038283,9,0.8294886854329723
7,0,0.951469874643504,1,0.8382051056453862,2,0.8901563426501458,3,0.7859535001098861,4,0.9239326135569598,5,0.9457226614275634,6,0.8839118552666109,7,1.0,8,0.6133687971833224,9,0.5834720191303688
8,0,0.4120218729231222,1,0.9284905642293044,2,0.48051562193288166,3,0.885420732349602,4,0.7494029562452725,5,0.8179039733434084,6,0.6474620833038283,7,0.6133687971833224,8,1.0,9,0.6167061453508275
9,0,0.6047644903679132,1,0.5889884637205391,2,0.23950908388221892,3,0.8289370942178771,4,0.4272660192411595,5,0.6949747238594167,6,0.8294886854329723,7,0.5834720191303688,8,0.6167061453508275,9,1.0
