0,1,2,3
artificial neural networks,robotics,expert system,pattern recognition
genetic algorithm,cybernetics,expert,data mining
distributed artificial intelligence,cognitive science,knowledge system,diagnosis
fuzzy logic,internet,decision support system,fault diagnosis
knowledge representation,robot,decision support,database
machine learning,ontology,knowledge,image processing
reasoning,mobile robot,agent,identification
simulation,cognition,knowledge engineering,parallel processing
learning,virtual reality,scheduling,computer assisted diagnosis
optimization,user interface,decision making,fault detection
classification,consciousness,planning,image analysis
knowledge base,world wide web,computer aided,failure detection
modeling,creativity,multi agent system,multimedia
decision tree,sensor,intelligent agent,signal processing
constraint satisfaction,context,multi agent,qsar
artificial intelligence application expert system,prolog,computer,medical imaging
knowledge acquisition,game,automation,speech recognition
heuristic,language,control,data analysis
modelling,semantics,process control,principal component analysis
object oriented programming,medical informatics,knowledge management,graph
algorithm,epistemology,intelligent system,computer aided diagnosis
model,review,software engineering,medical diagnosis
fuzzy set,computer science,intelligent control,frame
uncertainty,mind,natural language processing,breast cancer
solving,embodiment,multiagent system,sensor fusion
logic programming,cim,fuzzy control,remote sensing
tabu search,chemical industry,application expert system,visualization
heuristic search,lisp,power system,model diagnosis
information retrieval,formal language,information system,diagnostics
architecture,electronic commerce,object oriented,pathology
integration,natural language,real time,retrieval
fuzzy system,java,forecasting,morphometry
logic,cam,management,prognosis
reinforcement learning,economics,autonomous agent,
hybrid system,mechatronics,computer vision,
temporal reasoning,,information,
human computer interaction,,operation,
qualitative reasoning,,intelligent tutoring system,
computer simulation,,real time computer system,
prediction,,rule system,
approximate reasoning,,adaptive control,
search,,concurrent engineering,
rough set,,intelligence,
rule,,negotiation,
optimisation,,flexible manufacturing system,
knowledge discovery,,coordination,
genetic programming,,system,
representation,,information technology,
artificial intelligence general,,computer application,
evolutionary computation,,supervisory control,
bayesian network,,education,
blackboard,,manufacturing,
artificial life,,monitoring,
methodology,,process planning,
network,,distributed control,
petri net,,cooperation,
knowledge representation formalism method,,intelligent,
decision theory,,computer aided engineering,
semantic network,,application,
model reasoning,,manufacturing system,
simulated annealing,,production,
soft computing,,quality control,
graph theory,,process,
support vector machine,,multiagent,
turing test,,condition monitoring,
learning system,,control system,
evolution,,organization,
combinatorial optimization,,software agent,
computational intelligence,,network management,
qualitative simulation,,flexible manufacturing,
programming,,real time system,
decision analysis,,project management,
fuzzy neural network,,engineering,
clustering,,computer integrated manufacturing,
self organizing map,,software,
local search,,intelligent machine,
fuzzy set theory,,power,
influence diagram,,man machine interface,
satisfiability,,intelligent manufacturing system,
evaluation,,grinding,
blackboard architecture,,geographic information system,
adaptation,,automatic control,
nonmonotonic reasoning,,autonomy,
statistic,,production system,
complexity,,maintenance,
hybrid,,computer control,
linear programming,,strategic planning,
belief network,,behavior,
connectionism,,distributed,
inductive learning,,atm,
reliability,,transportation,
automated reasoning,,supply chain management,
evolutionary algorithm,,intelligent manufacturing,
evolutionary programming,,environment,
feature extraction,,marketing,
training,,action,
qualitative modeling,,power operation,
perception,,assembly,
backpropagation,,optimal control,
abduction,,real time control,
user modeling,,distributed system,
integer programming,,adaptive system,
fuzzy,,supervision,
distributed solving,,collaboration,
simulation modeling application,,traffic control,
probability,,manufacturing process,
rule induction,,wastewater treatment,
solving control method search,,communication,
finite element,,time,
blackboard model,,human factor,
constraint propagation,,agent architecture,
relational database,,,
structure activity relationship,,,
temporal logic,,,
logic artificial intelligence,,,
feature selection,,,
validation,,,
performance evaluation,,,
qualitative physic,,,
nonlinear system,,,
collaborative,,,
hypermedia,,,
parallel computing,,,
distributed computing,,,
game theory,,,
performance,,,
transient stability,,,
discriminant analysis,,,
information theory,,,
heuristic programming,,,
fuzzy reasoning,,,
analysis,,,
stability,,,
blackboard system,,,
artificial intelligence medicine,,,
