0,1,2,3,4
223.0,357.0,93.0,657.0,167.0
147.0,67.0,61.0,191.0,145.0
136.0,55.0,59.0,130.0,117.0
121.0,53.0,41.0,75.0,100.0
73.0,49.0,41.0,65.0,77.0
67.0,43.0,39.0,58.0,62.0
54.0,37.0,25.0,52.0,61.0
51.0,37.0,24.0,48.0,60.0
43.0,33.0,22.0,47.0,59.0
39.0,32.0,20.0,38.0,49.0
38.0,32.0,18.0,34.0,42.0
34.0,30.0,18.0,31.0,38.0
32.0,29.0,17.0,30.0,36.0
32.0,27.0,17.0,23.0,36.0
31.0,25.0,17.0,21.0,32.0
27.0,25.0,16.0,20.0,30.0
25.0,24.0,16.0,20.0,29.0
24.0,22.0,16.0,18.0,28.0
22.0,20.0,16.0,18.0,27.0
21.0,19.0,15.0,18.0,26.0
20.0,19.0,15.0,17.0,26.0
20.0,18.0,14.0,17.0,25.0
20.0,18.0,14.0,16.0,25.0
19.0,17.0,14.0,15.0,24.0
19.0,17.0,14.0,15.0,24.0
18.0,17.0,14.0,14.0,24.0
17.0,16.0,13.0,14.0,23.0
15.0,16.0,13.0,12.0,21.0
15.0,15.0,13.0,12.0,21.0
13.0,14.0,12.0,12.0,18.0
13.0,14.0,12.0,12.0,18.0
13.0,13.0,10.0,12.0,17.0
12.0,13.0,10.0,12.0,16.0
12.0,13.0,10.0,12.0,16.0
12.0,13.0,10.0,12.0,16.0
12.0,12.0,9.0,11.0,16.0
12.0,12.0,9.0,11.0,16.0
12.0,12.0,9.0,10.0,15.0
11.0,12.0,9.0,10.0,14.0
11.0,11.0,9.0,10.0,14.0
11.0,11.0,9.0,10.0,14.0
10.0,10.0,9.0,10.0,14.0
10.0,10.0,9.0,10.0,14.0
10.0,10.0,9.0,10.0,14.0
10.0,10.0,9.0,10.0,14.0
10.0,9.0,8.0,9.0,14.0
10.0,9.0,8.0,9.0,13.0
10.0,9.0,8.0,9.0,13.0
10.0,9.0,8.0,9.0,13.0
10.0,9.0,8.0,8.0,13.0
10.0,9.0,,8.0,13.0
9.0,9.0,,8.0,13.0
9.0,8.0,,8.0,12.0
9.0,8.0,,8.0,12.0
8.0,8.0,,8.0,12.0
8.0,8.0,,8.0,12.0
8.0,8.0,,8.0,12.0
8.0,8.0,,,11.0
8.0,,,,11.0
8.0,,,,11.0
8.0,,,,10.0
8.0,,,,10.0
8.0,,,,10.0
8.0,,,,10.0
,,,,10.0
,,,,10.0
,,,,10.0
,,,,10.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,9.0
,,,,8.0
,,,,8.0
,,,,8.0
,,,,8.0
,,,,8.0
,,,,8.0
,,,,8.0
,,,,8.0
