0,1,2,3,4,5,6
decision support system,distributed artificial intelligence,expert system,artificial neural networks,genetic algorithm,fuzzy logic,agent
scheduling,knowledge representation,multi agent system,expert,optimization,machine learning,robotics
planning,simulation,intelligent agent,knowledge system,decision tree,reasoning,internet
automation,pattern recognition,computer,knowledge,constraint satisfaction,learning,robot
control,decision support,knowledge management,knowledge engineering,heuristic,classification,mobile robot
process control,data mining,intelligent system,computer aided,algorithm,modeling,game
power system,diagnosis,software engineering,knowledge base,model,logic,cim
real time,decision making,intelligent control,database,fuzzy set,qualitative reasoning,java
management,fault diagnosis,multiagent system,cybernetics,solving,representation,cam
operation,multi agent,architecture,artificial intelligence application expert system,fuzzy control,model reasoning,
adaptive control,image processing,application expert system,cognitive science,forecasting,qualitative simulation,
negotiation,knowledge acquisition,information system,natural language processing,prediction,qsar,
coordination,modelling,autonomous agent,ontology,approximate reasoning,fuzzy set theory,
system,object oriented programming,intelligent tutoring system,human computer interaction,search,statistic,
supervisory control,uncertainty,real time computer system,computer vision,rough set,inductive learning,
manufacturing,logic programming,virtual reality,cognition,rule,graph,
monitoring,tabu search,rule system,computer assisted diagnosis,optimisation,feature extraction,
process planning,heuristic search,user interface,knowledge discovery,bayesian network,qualitative modeling,
distributed control,information retrieval,flexible manufacturing system,intelligence,simulated annealing,abduction,
cooperation,integration,information technology,artificial intelligence general,combinatorial optimization,qualitative physic,
sensor,fuzzy system,blackboard,computer application,clustering,discriminant analysis,
manufacturing system,identification,education,artificial life,satisfiability,fuzzy reasoning,
production,parallel processing,world wide web,consciousness,evaluation,analysis,
quality control,object oriented,intelligent,creativity,adaptation,,
process,reinforcement learning,application,computer aided engineering,complexity,,
multiagent,hybrid system,multimedia,context,hybrid,,
control system,temporal reasoning,organization,turing test,linear programming,,
network management,computer simulation,software agent,engineering,reliability,,
flexible manufacturing,information,real time system,medical imaging,evolutionary algorithm,,
project management,genetic programming,computer integrated manufacturing,self organizing map,training,,
power,concurrent engineering,software,language,backpropagation,,
automatic control,evolutionary computation,blackboard architecture,semantics,fuzzy,,
production system,methodology,man machine interface,intelligent machine,probability,,
maintenance,network,intelligent manufacturing system,speech recognition,rule induction,,
strategic planning,petri net,geographic information system,medical informatics,constraint propagation,,
distributed,knowledge representation formalism method,autonomy,epistemology,feature selection,,
atm,decision theory,computer control,review,validation,,
transportation,semantic network,behavior,connectionism,performance evaluation,,
supply chain management,fault detection,chemical industry,computer science,performance,,
action,soft computing,remote sensing,mind,transient stability,,
power operation,graph theory,intelligent manufacturing,embodiment,stability,,
assembly,support vector machine,environment,computer aided diagnosis,,,
optimal control,learning system,marketing,medical diagnosis,,,
real time control,image analysis,electronic commerce,perception,,,
distributed system,failure detection,collaboration,breast cancer,,,
distributed computing,condition monitoring,communication,lisp,,,
traffic control,evolution,agent architecture,formal language,,,
manufacturing process,computational intelligence,blackboard system,natural language,,,
wastewater treatment,prolog,mechatronics,logic artificial intelligence,,,
time,signal processing,,pathology,,,
,programming,,collaborative,,,
,decision analysis,,hypermedia,,,
,fuzzy neural network,,game theory,,,
,local search,,information theory,,,
,influence diagram,,human factor,,,
,data analysis,,economics,,,
,nonmonotonic reasoning,,artificial intelligence medicine,,,
,grinding,,,,,
,belief network,,,,,
,principal component analysis,,,,,
,automated reasoning,,,,,
,evolutionary programming,,,,,
,frame,,,,,
,user modeling,,,,,
,integer programming,,,,,
,distributed solving,,,,,
,simulation modeling application,,,,,
,sensor fusion,,,,,
,visualization,,,,,
,solving control method search,,,,,
,model diagnosis,,,,,
,finite element,,,,,
,blackboard model,,,,,
,diagnostics,,,,,
,relational database,,,,,
,structure activity relationship,,,,,
,temporal logic,,,,,
,adaptive system,,,,,
,nonlinear system,,,,,
,retrieval,,,,,
,supervision,,,,,
,morphometry,,,,,
,parallel computing,,,,,
,prognosis,,,,,
,heuristic programming,,,,,
