0,1,2,3,4,5,6
93.0,167.0,357.0,657.0,223.0,147.0,67.0
61.0,145.0,53.0,191.0,67.0,136.0,55.0
59.0,117.0,49.0,130.0,43.0,121.0,33.0
41.0,100.0,43.0,75.0,39.0,73.0,30.0
41.0,77.0,37.0,65.0,38.0,54.0,24.0
39.0,62.0,37.0,58.0,34.0,51.0,13.0
25.0,61.0,32.0,52.0,32.0,25.0,10.0
24.0,60.0,32.0,48.0,32.0,22.0,9.0
22.0,59.0,29.0,47.0,31.0,18.0,8.0
20.0,49.0,27.0,38.0,27.0,15.0,
18.0,42.0,25.0,34.0,24.0,13.0,
18.0,38.0,25.0,31.0,21.0,13.0,
17.0,36.0,22.0,30.0,20.0,12.0,
17.0,36.0,20.0,23.0,20.0,12.0,
17.0,32.0,19.0,21.0,20.0,10.0,
16.0,30.0,19.0,20.0,19.0,10.0,
16.0,29.0,18.0,20.0,19.0,10.0,
16.0,28.0,18.0,18.0,17.0,10.0,
16.0,27.0,17.0,18.0,15.0,10.0,
15.0,26.0,17.0,18.0,13.0,8.0,
15.0,26.0,17.0,17.0,12.0,8.0,
14.0,25.0,16.0,17.0,12.0,8.0,
14.0,25.0,16.0,16.0,12.0,8.0,
14.0,24.0,15.0,15.0,12.0,,
14.0,24.0,14.0,15.0,11.0,,
14.0,24.0,14.0,14.0,11.0,,
13.0,23.0,13.0,14.0,11.0,,
13.0,21.0,13.0,12.0,10.0,,
13.0,21.0,13.0,12.0,10.0,,
12.0,18.0,12.0,12.0,10.0,,
12.0,18.0,12.0,12.0,10.0,,
10.0,17.0,12.0,12.0,10.0,,
10.0,16.0,12.0,12.0,9.0,,
10.0,16.0,11.0,12.0,9.0,,
10.0,16.0,11.0,12.0,9.0,,
9.0,16.0,10.0,11.0,8.0,,
9.0,16.0,10.0,11.0,8.0,,
9.0,15.0,10.0,10.0,8.0,,
9.0,14.0,9.0,10.0,8.0,,
9.0,14.0,9.0,10.0,8.0,,
9.0,14.0,9.0,10.0,8.0,,
9.0,14.0,9.0,10.0,,,
9.0,14.0,9.0,10.0,,,
9.0,14.0,9.0,10.0,,,
9.0,14.0,8.0,10.0,,,
8.0,14.0,8.0,9.0,,,
8.0,13.0,8.0,9.0,,,
8.0,13.0,8.0,9.0,,,
8.0,13.0,8.0,9.0,,,
8.0,13.0,,8.0,,,
,13.0,,8.0,,,
,13.0,,8.0,,,
,12.0,,8.0,,,
,12.0,,8.0,,,
,12.0,,8.0,,,
,12.0,,8.0,,,
,12.0,,8.0,,,
,11.0,,,,,
,11.0,,,,,
,11.0,,,,,
,10.0,,,,,
,10.0,,,,,
,10.0,,,,,
,10.0,,,,,
,10.0,,,,,
,10.0,,,,,
,10.0,,,,,
,10.0,,,,,
,9.0,,,,,
,9.0,,,,,
,9.0,,,,,
,9.0,,,,,
,9.0,,,,,
,9.0,,,,,
,9.0,,,,,
,9.0,,,,,
,9.0,,,,,
,8.0,,,,,
,8.0,,,,,
,8.0,,,,,
,8.0,,,,,
,8.0,,,,,
,8.0,,,,,
,8.0,,,,,
,8.0,,,,,
