0,1,2
225.0,975.0,393.0
186.0,337.0,150.0
131.0,217.0,119.0
121.0,196.0,111.0
80.0,192.0,97.0
74.0,164.0,97.0
69.0,159.0,95.0
59.0,91.0,93.0
59.0,90.0,84.0
58.0,88.0,81.0
58.0,85.0,76.0
57.0,73.0,75.0
49.0,71.0,66.0
48.0,59.0,61.0
45.0,57.0,52.0
44.0,47.0,50.0
40.0,47.0,49.0
36.0,47.0,47.0
35.0,47.0,45.0
29.0,45.0,43.0
27.0,43.0,43.0
26.0,41.0,42.0
26.0,39.0,38.0
25.0,38.0,37.0
25.0,37.0,37.0
21.0,37.0,36.0
21.0,37.0,30.0
20.0,36.0,29.0
20.0,35.0,29.0
20.0,34.0,29.0
19.0,33.0,28.0
19.0,33.0,27.0
19.0,32.0,26.0
19.0,32.0,26.0
19.0,31.0,26.0
19.0,31.0,24.0
18.0,29.0,24.0
18.0,29.0,24.0
17.0,29.0,23.0
17.0,29.0,22.0
17.0,27.0,22.0
17.0,27.0,22.0
16.0,27.0,21.0
16.0,26.0,21.0
16.0,25.0,20.0
16.0,25.0,20.0
15.0,24.0,20.0
15.0,24.0,20.0
15.0,24.0,20.0
15.0,23.0,19.0
15.0,22.0,19.0
15.0,22.0,19.0
15.0,21.0,19.0
14.0,21.0,18.0
14.0,20.0,18.0
14.0,19.0,18.0
14.0,19.0,18.0
14.0,19.0,17.0
14.0,18.0,17.0
14.0,18.0,17.0
14.0,18.0,16.0
14.0,18.0,16.0
14.0,18.0,16.0
14.0,17.0,16.0
14.0,17.0,16.0
14.0,17.0,16.0
13.0,17.0,15.0
13.0,17.0,15.0
13.0,17.0,15.0
13.0,16.0,15.0
13.0,16.0,14.0
13.0,16.0,14.0
12.0,15.0,13.0
12.0,15.0,13.0
12.0,15.0,13.0
12.0,15.0,13.0
12.0,15.0,13.0
12.0,14.0,13.0
11.0,14.0,13.0
11.0,14.0,13.0
11.0,14.0,13.0
11.0,14.0,12.0
11.0,14.0,12.0
11.0,14.0,12.0
11.0,13.0,12.0
10.0,13.0,12.0
10.0,13.0,12.0
10.0,13.0,12.0
10.0,13.0,11.0
10.0,13.0,11.0
10.0,13.0,11.0
10.0,13.0,11.0
10.0,13.0,11.0
10.0,12.0,11.0
10.0,12.0,11.0
10.0,12.0,11.0
10.0,12.0,11.0
9.0,12.0,10.0
9.0,12.0,10.0
9.0,12.0,10.0
9.0,12.0,10.0
9.0,12.0,10.0
9.0,12.0,10.0
9.0,12.0,10.0
9.0,11.0,10.0
9.0,11.0,10.0
9.0,11.0,10.0
9.0,11.0,10.0
9.0,11.0,10.0
9.0,11.0,10.0
9.0,11.0,10.0
9.0,11.0,10.0
9.0,11.0,10.0
9.0,11.0,10.0
9.0,11.0,9.0
,11.0,9.0
,11.0,9.0
,11.0,9.0
,10.0,9.0
,10.0,9.0
,10.0,9.0
,10.0,9.0
,10.0,9.0
,10.0,9.0
,10.0,9.0
,10.0,
,10.0,
,10.0,
,10.0,
,10.0,
,10.0,
,10.0,
,10.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
,9.0,
