0,1,2,3,4,5,6,7
fuzzy logic,genetic algorithm,decision support system,agent,expert system,ontology,power,artificial neural networks
machine learning,optimization,decision support,robotics,expert,cybernetics,time,distributed artificial intelligence
reasoning,decision tree,multi agent,computer,knowledge system,cognitive science,routing,knowledge representation
simulation,heuristic,planning,robot,knowledge,cognition,,pattern recognition
data mining,model,decision making,internet,knowledge engineering,consciousness,,diagnosis
learning,fuzzy set,multi agent system,mobile robot,intelligent agent,creativity,,image processing
classification,algorithm,fault diagnosis,game,computer aided,language,,knowledge acquisition
modeling,rough set,scheduling,virtual reality,knowledge management,emotion,,information retrieval
modelling,fuzzy control,control,education,knowledge base,computer science,,object oriented programming
reinforcement learning,solving,automation,world wide web,database,natural language,,object oriented
support vector machine,prediction,process control,agent technology,intelligent system,epistemology,,computer simulation
constraint satisfaction,forecasting,multiagent system,java,natural language processing,psychology,,self organizing map
uncertainty,rule,intelligent control,web service,artificial intelligence application expert system,mind,,methodology
logic programming,search,architecture,mobile agent,software engineering,review,,semantic network
logic,optimisation,autonomous agent,environment,computer vision,dialogue,,semantic web
tabu search,clustering,integration,electronic commerce,human computer interaction,formal language,,computational intelligence
bayesian network,evolutionary algorithm,power system,technology,information system,ethic,,artificial intelligence general
fuzzy system,simulated annealing,hybrid system,capp,knowledge discovery,,,prolog
evolutionary computation,complexity,real time,cim,intelligence,,,turing test
genetic programming,ant colony optimization,management,vision,intelligent tutoring system,,,learning system
heuristic search,fuzzy,operation,medicine,information,,,speech recognition
temporal reasoning,hybrid,monitoring,humanoid,artificial life,,,knowledge representation formalism method
network,combinatorial optimization,negotiation,,context,,,prognosis
identification,performance,soft computing,,application expert system,,,machine vision
parallel processing,load forecasting,system,,application,,,semantics
qualitative reasoning,linear programming,concurrent engineering,,user interface,,,data analysis
representation,training,coordination,,medical informatics,,,information theory
approximate reasoning,backpropagation,adaptive control,,computer assisted diagnosis,,,model diagnosis
petri net,satisfiability,signal processing,,intelligent,,,connectionism
programming,time series,manufacturing,,information technology,,,user modeling
fuzzy neural network,probability,distributed control,,real time computer system,,,influence diagram
qsar,constraint,flexible manufacturing system,,blackboard,,,automated reasoning
evolution,optimal control,remote sensing,,computer application,,,belief network
principal component analysis,validation,sensor,,multimedia,,,game theory
model reasoning,reliability,cooperation,,computer aided engineering,,,logic artificial intelligence
fuzzy set theory,constraint propagation,condition monitoring,,embodiment,,,artificial intelligence technique
graph theory,forecast,multiagent,,medical diagnosis,,,explanation
decision theory,chaos,rule system,,autonomy,,,argumentation
feature selection,back propagation,production,,man machine interface,,,relational database
nonmonotonic reasoning,performance evaluation,process planning,,computer aided diagnosis,,,swarm intelligence
statistic,stability,software agent,,bioinformatics,,,simulation modeling application
local search,logistic regression,supervisory control,,medical imaging,,,structure activity relationship
image analysis,particle swarm optimization,geographic information,,engineering,,,modal logic
feature extraction,search algorithm,supply chain management,,perception,,,visualization
adaptation,,software,,human factor,,,data fusion
abduction,,process,,collaborative,,,artificial immune
graph,,quality control,,computer game,,,blackboard model
evaluation,,wastewater treatment,,behavior,,,data acquisition
rule reasoning,,manufacturing system,,organization,,,possibility theory
decision analysis,,control system,,intelligent machine,,,cognitive model
finite element,,computer integrated manufacturing,,breast cancer,,,morphometry
qualitative simulation,,real time system,,mechatronics,,,conceptual
computational complexity,,blackboard architecture,,geographic information system,,,concept
evolutionary programming,,flexible manufacturing,,emergence,,,
discriminant analysis,,failure detection,,artificial intelligence medicine,,,
neuro fuzzy,,network management,,artificial intelligence application,,,
hidden markov model,,fault detection,,computer graphic,,,
analysis,,project management,,image understanding,,,
e learning,,communication,,development,,,
inductive learning,,distributed,,economics,,,
dynamic programming,,frame,,event,,,
temporal logic,,diagnostics,,agent architecture,,,
integer programming,,grinding,,human robot interaction,,,
verification,,transportation,,collaboration,,,
theory,,action,,chemical industry,,,
bayesian belief network,,maintenance,,corba,,,
qualitative modeling,,intrusion detection,,lisp,,,
image segmentation,,intelligent manufacturing system,,interaction,,,
fuzzy inference,,distributed system,,programming language,,,
induction motor,,risk assessment,,,,,
cluster analysis,,quality service,,,,,
solving control method search,,computer control,,,,,
probabilistic neural network,,distributed computing,,,,,
constraint programming,,vehicle routing,,,,,
nonlinear system,,sensor fusion,,,,,
computational model,,software architecture,,,,,
fuzzy reasoning,,finance,,,,,
association rule,,autonomous system,,,,,
inference engine,,atm,,,,,
rule induction,,distributed solving,,,,,
learning algorithm,,intelligent manufacturing,,,,,
,,real time control,,,,,
,,marketing,,,,,
,,database management,,,,,
,,strategy,,,,,
,,strategic planning,,,,,
,,production system,,,,,
,,automatic control,,,,,
,,complex system,,,,,
,,power operation,,,,,
,,self organization,,,,,
,,power quality,,,,,
,,supervision,,,,,
,,job shop scheduling,,,,,
,,nuclear power plant,,,,,
,,co ordination,,,,,
,,parallel computing,,,,,
,,adaptive system,,,,,
,,electronic nose,,,,,
,,memory,,,,,
,,assembly,,,,,
,,anomaly detection,,,,,
