0,1,2,3,4,5,6,7
217.0,337.0,119.0,111.0,393.0,59.0,15.0,975.0
196.0,90.0,97.0,95.0,225.0,58.0,11.0,192.0
164.0,61.0,93.0,45.0,150.0,40.0,11.0,186.0
159.0,59.0,88.0,43.0,97.0,27.0,,131.0
121.0,47.0,84.0,37.0,76.0,19.0,,74.0
91.0,47.0,81.0,36.0,75.0,19.0,,58.0
85.0,47.0,80.0,26.0,69.0,17.0,,49.0
71.0,43.0,73.0,24.0,66.0,17.0,,44.0
57.0,37.0,52.0,20.0,59.0,15.0,,37.0
47.0,36.0,49.0,18.0,57.0,14.0,,29.0
45.0,33.0,47.0,13.0,50.0,14.0,,26.0
45.0,32.0,43.0,12.0,48.0,13.0,,21.0
41.0,27.0,42.0,12.0,38.0,12.0,,21.0
39.0,26.0,31.0,11.0,38.0,11.0,,21.0
37.0,24.0,30.0,10.0,36.0,9.0,,19.0
37.0,24.0,29.0,10.0,35.0,9.0,,19.0
35.0,23.0,29.0,10.0,29.0,9.0,,18.0
34.0,22.0,29.0,10.0,29.0,,,18.0
33.0,19.0,26.0,10.0,29.0,,,18.0
32.0,17.0,26.0,10.0,28.0,,,18.0
31.0,16.0,24.0,9.0,27.0,,,17.0
29.0,16.0,24.0,9.0,25.0,,,16.0
27.0,15.0,23.0,,25.0,,,14.0
27.0,14.0,22.0,,25.0,,,14.0
26.0,14.0,22.0,,22.0,,,14.0
25.0,13.0,22.0,,21.0,,,14.0
24.0,13.0,21.0,,20.0,,,14.0
20.0,13.0,21.0,,20.0,,,13.0
19.0,13.0,20.0,,20.0,,,12.0
18.0,12.0,20.0,,20.0,,,12.0
17.0,12.0,20.0,,19.0,,,12.0
17.0,12.0,19.0,,18.0,,,12.0
17.0,11.0,19.0,,18.0,,,12.0
17.0,11.0,19.0,,17.0,,,11.0
17.0,11.0,19.0,,15.0,,,11.0
16.0,11.0,19.0,,15.0,,,11.0
16.0,10.0,19.0,,15.0,,,10.0
16.0,10.0,18.0,,15.0,,,10.0
16.0,10.0,18.0,,14.0,,,10.0
15.0,10.0,18.0,,14.0,,,10.0
15.0,9.0,17.0,,14.0,,,10.0
15.0,9.0,17.0,,13.0,,,10.0
15.0,9.0,17.0,,13.0,,,10.0
15.0,9.0,16.0,,13.0,,,10.0
15.0,,16.0,,13.0,,,10.0
14.0,,16.0,,13.0,,,10.0
14.0,,16.0,,13.0,,,9.0
14.0,,16.0,,13.0,,,9.0
14.0,,16.0,,13.0,,,9.0
14.0,,15.0,,12.0,,,9.0
13.0,,15.0,,12.0,,,9.0
13.0,,15.0,,12.0,,,9.0
13.0,,14.0,,11.0,,,9.0
13.0,,14.0,,11.0,,,
12.0,,14.0,,11.0,,,
12.0,,14.0,,11.0,,,
12.0,,14.0,,11.0,,,
12.0,,13.0,,11.0,,,
11.0,,13.0,,11.0,,,
11.0,,13.0,,10.0,,,
11.0,,13.0,,10.0,,,
11.0,,13.0,,10.0,,,
11.0,,12.0,,9.0,,,
10.0,,12.0,,9.0,,,
10.0,,12.0,,9.0,,,
10.0,,12.0,,9.0,,,
10.0,,12.0,,9.0,,,
10.0,,12.0,,9.0,,,
10.0,,11.0,,9.0,,,
10.0,,11.0,,,,,
9.0,,11.0,,,,,
9.0,,11.0,,,,,
9.0,,11.0,,,,,
9.0,,11.0,,,,,
9.0,,11.0,,,,,
9.0,,10.0,,,,,
9.0,,10.0,,,,,
9.0,,10.0,,,,,
9.0,,10.0,,,,,
9.0,,10.0,,,,,
9.0,,10.0,,,,,
,,10.0,,,,,
,,10.0,,,,,
,,10.0,,,,,
,,10.0,,,,,
,,10.0,,,,,
,,10.0,,,,,
,,10.0,,,,,
,,10.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
,,9.0,,,,,
