0,1,2,3,4
expert,artificial neural networks,genetic algorithm,data mining,machine learning
knowledge system,expert system,fuzzy logic,pattern recognition,reasoning
agent,distributed artificial intelligence,simulation,classification,knowledge representation
decision support,decision support system,optimization,fault diagnosis,learning
decision making,multi agent,support vector machine,diagnosis,ontology
knowledge,robotics,modeling,image processing,knowledge engineering
knowledge management,multi agent system,reinforcement learning,database,natural language processing
decision tree,planning,heuristic,information retrieval,knowledge base
rough set,intelligent agent,algorithm,geographic information,computer aided
prediction,scheduling,modelling,identification,cybernetics
constraint satisfaction,intelligent system,model,monitoring,cognitive science
automation,control,fuzzy set,sensor,knowledge acquisition
uncertainty,multiagent system,bayesian network,representation,computer
forecasting,robot,genetic programming,feature selection,human computer interaction
software engineering,process control,evolutionary algorithm,principal component analysis,computer vision
information system,game,evolutionary computation,signal processing,semantic web
education,computational intelligence,solving,remote sensing,logic
rule,virtual reality,tabu search,feature extraction,cognition
management,fuzzy control,logic programming,parallel processing,self organizing map
information,intelligent control,fuzzy system,intrusion detection,knowledge discovery
integration,intelligent tutoring system,clustering,speech recognition,temporal reasoning
negotiation,internet,object oriented programming,computer assisted diagnosis,object oriented
manufacturing,mobile robot,search,statistic,consciousness
information technology,artificial intelligence application expert system,particle swarm optimization,machine vision,emotion
operation,intelligence,heuristic search,computer aided diagnosis,context
real time,artificial life,ant colony optimization,graph,turing test
autonomy,architecture,optimisation,qsar,user interface
supply chain management,intelligent,computer simulation,multimedia,qualitative reasoning
coordination,autonomous agent,network,medical diagnosis,embodiment
complexity,hybrid system,simulated annealing,model diagnosis,medical informatics
evaluation,multiagent,methodology,data analysis,e learning
cooperation,power system,fuzzy inference,fault detection,bioinformatics
concurrent engineering,soft computing,petri net,data fusion,semantics
engineering,adaptive control,multi layer perceptron,prognosis,learning system
computer application,application,programming,analysis,semantic network
probability,condition monitoring,fuzzy neural network,frame,creativity
training,distributed control,hybrid,image analysis,language
performance,application expert system,fuzzy,information extraction,game theory
production,evolution,anfis,diagnostics,computer science
constraint,software agent,process,discriminant analysis,graph theory
project management,world wide web,support vector regression,visualization,psychology
time series,system,combinatorial optimization,breast cancer,approximate reasoning
satisfiability,ambient intelligence,hidden markov model,text mining,model reasoning
communication,process planning,computational complexity,image segmentation,epistemology
maintenance,artificial intelligence technique,neuro fuzzy,failure detection,fuzzy set theory
adaptation,swarm intelligence,dynamic programming,pattern classification,perception
behavior,agent technology,finite element,wireless sensor network,rough set theory
power,rule system,backpropagation,sensor fusion,computer graphic
development,flexible manufacturing system,local search,medical imaging,relational database
decision analysis,manufacturing system,evolutionary programming,vision,mind
forecast,real time computer system,linear programming,abstraction,natural language
self organization,artificial immune,dynamic,detection,knowledge representation formalism method
qualitative simulation,computer game,logistic regression,geographic information system,decision theory
human factor,web service,inference engine,brain,nonmonotonic reasoning
load forecasting,prolog,unsupervised learning,anomaly detection,information theory
emergence,artificial intelligence general,back propagation,cluster analysis,rule reasoning
risk assessment,supervisory control,metaheuristics,wavelet transform,collaborative
grinding,control system,fuzzy rule,wavelet,human robot interaction
reliability,mobile agent,radial basis function,nuclear magnetic resonance,man machine interface
stability,quality control,cellular automaton,music,abduction
explanation,blackboard,bayesian belief network,kalman filter,argumentation
validation,wastewater treatment,optimization method,segmentation,cognitive informatics
finance,software,constraint programming,experiment,user modeling
performance evaluation,computer integrated manufacturing,inductive learning,cancer,connectionism
