0,1,2,3
186.0,678.0,1896.0,302.0
179.0,417.0,460.0,206.0
149.0,373.0,338.0,162.0
111.0,298.0,254.0,126.0
102.0,273.0,233.0,107.0
86.0,222.0,196.0,105.0
76.0,219.0,181.0,78.0
72.0,177.0,175.0,77.0
69.0,135.0,175.0,50.0
69.0,123.0,172.0,50.0
62.0,107.0,168.0,46.0
59.0,98.0,156.0,46.0
58.0,97.0,136.0,37.0
56.0,95.0,136.0,36.0
54.0,93.0,116.0,33.0
47.0,89.0,114.0,31.0
46.0,88.0,112.0,30.0
45.0,86.0,99.0,30.0
39.0,80.0,87.0,29.0
36.0,76.0,84.0,28.0
34.0,73.0,84.0,28.0
34.0,72.0,83.0,27.0
33.0,57.0,78.0,25.0
33.0,53.0,77.0,25.0
32.0,52.0,74.0,24.0
32.0,52.0,74.0,24.0
32.0,52.0,69.0,24.0
31.0,52.0,68.0,24.0
31.0,52.0,68.0,24.0
31.0,47.0,68.0,23.0
31.0,46.0,65.0,23.0
31.0,45.0,63.0,23.0
30.0,44.0,60.0,23.0
30.0,44.0,60.0,22.0
29.0,43.0,54.0,22.0
29.0,42.0,53.0,21.0
28.0,41.0,49.0,21.0
28.0,41.0,47.0,21.0
27.0,40.0,45.0,20.0
27.0,40.0,44.0,19.0
26.0,39.0,43.0,19.0
25.0,38.0,43.0,18.0
25.0,38.0,43.0,18.0
24.0,37.0,42.0,17.0
24.0,36.0,41.0,17.0
23.0,35.0,40.0,17.0
23.0,35.0,39.0,17.0
23.0,34.0,38.0,16.0
23.0,34.0,38.0,16.0
23.0,32.0,37.0,16.0
22.0,32.0,36.0,15.0
22.0,31.0,36.0,15.0
21.0,30.0,35.0,15.0
21.0,29.0,35.0,15.0
21.0,29.0,34.0,14.0
21.0,29.0,33.0,14.0
21.0,29.0,32.0,14.0
20.0,28.0,32.0,14.0
20.0,28.0,32.0,14.0
20.0,28.0,32.0,13.0
20.0,27.0,31.0,13.0
19.0,27.0,31.0,13.0
19.0,27.0,30.0,13.0
18.0,27.0,30.0,13.0
18.0,25.0,30.0,13.0
18.0,24.0,29.0,13.0
18.0,24.0,29.0,12.0
17.0,24.0,29.0,12.0
17.0,24.0,28.0,12.0
17.0,23.0,27.0,11.0
17.0,23.0,27.0,11.0
17.0,22.0,27.0,11.0
17.0,22.0,25.0,11.0
16.0,22.0,25.0,11.0
16.0,21.0,24.0,11.0
16.0,21.0,24.0,11.0
16.0,21.0,24.0,11.0
16.0,21.0,24.0,11.0
16.0,21.0,23.0,11.0
16.0,21.0,23.0,10.0
16.0,21.0,23.0,10.0
15.0,21.0,23.0,10.0
15.0,20.0,22.0,10.0
15.0,20.0,22.0,10.0
15.0,20.0,22.0,10.0
15.0,20.0,22.0,10.0
15.0,20.0,21.0,10.0
15.0,20.0,21.0,10.0
15.0,20.0,21.0,10.0
15.0,20.0,21.0,10.0
14.0,19.0,21.0,10.0
14.0,19.0,21.0,10.0
14.0,19.0,20.0,9.0
14.0,19.0,20.0,9.0
14.0,19.0,20.0,9.0
14.0,19.0,20.0,9.0
14.0,19.0,20.0,9.0
14.0,19.0,20.0,9.0
14.0,18.0,19.0,9.0
14.0,18.0,19.0,9.0
13.0,18.0,19.0,9.0
13.0,18.0,19.0,9.0
13.0,18.0,19.0,9.0
13.0,18.0,19.0,9.0
13.0,17.0,18.0,9.0
13.0,17.0,18.0,9.0
13.0,17.0,18.0,9.0
12.0,17.0,18.0,
12.0,17.0,18.0,
12.0,17.0,18.0,
12.0,17.0,18.0,
12.0,16.0,18.0,
12.0,16.0,18.0,
12.0,16.0,18.0,
12.0,16.0,18.0,
12.0,16.0,18.0,
12.0,16.0,17.0,
12.0,16.0,17.0,
12.0,16.0,17.0,
12.0,16.0,17.0,
12.0,16.0,17.0,
11.0,16.0,17.0,
11.0,16.0,16.0,
11.0,16.0,16.0,
11.0,16.0,16.0,
11.0,16.0,16.0,
11.0,15.0,16.0,
11.0,15.0,16.0,
11.0,15.0,16.0,
11.0,15.0,15.0,
11.0,15.0,15.0,
11.0,15.0,15.0,
11.0,15.0,15.0,
11.0,15.0,15.0,
11.0,14.0,14.0,
11.0,14.0,14.0,
11.0,14.0,14.0,
11.0,14.0,14.0,
11.0,14.0,14.0,
11.0,14.0,14.0,
10.0,14.0,14.0,
10.0,14.0,14.0,
10.0,14.0,14.0,
10.0,14.0,13.0,
10.0,14.0,13.0,
10.0,14.0,13.0,
10.0,14.0,13.0,
10.0,13.0,13.0,
10.0,13.0,13.0,
10.0,13.0,13.0,
10.0,13.0,13.0,
10.0,13.0,13.0,
10.0,13.0,13.0,
10.0,13.0,13.0,
10.0,13.0,13.0,
10.0,13.0,13.0,
10.0,13.0,13.0,
9.0,13.0,13.0,
9.0,13.0,13.0,
9.0,13.0,13.0,
9.0,13.0,12.0,
9.0,13.0,12.0,
9.0,12.0,12.0,
9.0,12.0,12.0,
9.0,12.0,12.0,
9.0,12.0,12.0,
9.0,12.0,12.0,
9.0,12.0,12.0,
9.0,12.0,12.0,
9.0,11.0,12.0,
9.0,11.0,12.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
9.0,11.0,11.0,
,11.0,11.0,
,11.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,10.0,
,10.0,9.0,
,10.0,9.0,
,10.0,9.0,
,10.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,9.0,
,9.0,,
,9.0,,
,9.0,,
,9.0,,
,9.0,,
,9.0,,
