0,1,2,3,4,5,6,7,8,9
robotics,machine learning,ontology,genetic algorithm,expert,artificial neural networks,planning,expert system,anfis,power
agent,fuzzy logic,knowledge,optimization,reasoning,simulation,scheduling,multi agent system,fuzzy set,fpga
game,data mining,human computer interaction,algorithm,knowledge representation,distributed artificial intelligence,control,knowledge system,clustering,routing
robot,support vector machine,cybernetics,particle swarm optimization,pattern recognition,multi agent,sensor,decision support system,wavelet transform,energy
education,learning,cognitive science,decision tree,natural language processing,decision making,process control,intelligent agent,fuzzy,sat
virtual reality,classification,semantic web,forecasting,diagnosis,decision support,wireless sensor network,knowledge management,regression,pid
internet thing,reinforcement learning,cognition,evolutionary algorithm,knowledge base,fault diagnosis,cloud computing,intelligent system,wavelet,time
mobile robot,modeling,computer,heuristic,database,computational intelligence,power system,knowledge engineering,logistic regression,gps
internet,image processing,emotion,fuzzy control,information retrieval,uncertainty,real time,computer vision,regression analysis,gpu
monitoring,prediction,consciousness,solving,knowledge acquisition,constraint satisfaction,path planning,automation,backpropagation,mppt
autonomous agent,bayesian network,semantics,ant colony optimization,intelligence,swarm intelligence,supply chain management,multiagent system,classifier,
smart grid,genetic programming,bioinformatics,simulated annealing,game theory,big data,distributed system,computer aided,entropy,
management,modelling,human robot interaction,search,self organizing map,soft computing,operation,intelligent tutoring system,fuzzy clustering,
technology,rough set,context,optimisation,artificial intelligence technique,tabu search,control system,software engineering,ensemble,
security,model,creativity,time series,knowledge discovery,fuzzy system,distributed control,geographic information,k nearest neighbor,
autonomy,evolutionary computation,computer science,heuristic search,artificial life,condition monitoring,maintenance,intelligent control,test,
system,feature extraction,language,complexity,text mining,component,production,intelligent,estimation,
manufacturing,e learning,web,adaptive control,argumentation,signal processing,renewable energy,architecture,fuzzy c mean,
software,multi layer perceptron,medical informatics,performance,speech recognition,turing test,process planning,information system,decomposition,
cooperation,principal component analysis,breast cancer,hybrid,temporal reasoning,integration,strategy,ambient intelligence,filtering,
web service,feature selection,psychology,combinatorial optimization,embodiment,fault detection,energy management,application,multivariate statistic,
video game,logic programming,cognitive informatics,reliability,social network analysis,intrusion detection,distributed,information,linear regression,
risk,rule,ethic,power transformer,artificial intelligence application expert system,network,automated planning,information technology,naive bayes,
manufacturing system,logic,review,load forecasting,artificial immune,methodology,process,computer game,discrete wavelet transform,
mobile agent,identification,natural language,constraint programming,perception,evolution,optimal control,multiagent,fuzzy model,
quality service,fuzzy inference,epistemology,linear programming,cognitive computing,object oriented programming,memory,negotiation,linear discriminant analysis,
flexible manufacturing system,convolutional neural networks,philosophy,multi objective optimization,learning system,machine vision,supervisory control,user interface,multiple linear regression,
smart home,adaptive neuro fuzzy inference,mind,back propagation,visualization,hybrid system,photovoltaic,remote sensing,bayes theorem,
java,evaluation,interaction,forecast,information extraction,computer simulation,distributed generation,communication,clustering algorithm,
real time system,deep learning,cognitive radio,adaptive,semantic network,affective computing,distributed computing,computer aided diagnosis,selection,
agent technology,support vector regression,concept,local search,theory,computational complexity,obstacle avoidance,intelligent tutoring,classification regression tree,
autonomous system,representation,cancer,quality control,cognitive architecture,object oriented,job shop scheduling,coordination,boosting,
safety,neuro fuzzy,survey,stability,automated reasoning,cellular automaton,unmanned aerial vehicle,engineering,nonlinear,
intelligent transportation system,fuzzy neural network,brain,search engine,prognosis,dynamic programming,supply chain,project management,svr,
humanoid robot,induction motor,neuroscience,short term load forecasting,collective intelligence,metaheuristics,economic dispatch,medical diagnosis,fitting,
wastewater treatment,probability,phenomenology,constraint,artificial intelligence method,power quality,logistics,innovation,,
economics,graph theory,teaching,search algorithm,cbr,dynamic,resource allocation,intelligent robot,,
smart city,image analysis,dialogue,fuzzy logic controller,semantic similarity,complex system,vehicle routing,collaborative,,
autonomous vehicle,hidden markov model,vision,parameter estimation,information theory,parallel processing,electricity market,software agent,,
chatbot,data analysis,disease,maximum power point tracking,collaborative learning,petri net,nuclear power plant,multimedia,,
intelligent manufacturing system,programming,medicine,transformer,artificial intelligence application,markov decision process,flexible manufacturing,diagnostics,,
risk management,unsupervised learning,literature review,optimization method,rule reasoning,adaptive system,groundwater,human factor,,
rfid,statistic,cognitive robotics,kalman filter,face recognition,quality,grid computing,serious game,,
navigation,image segmentation,aiml,random forest,computational linguistics,model diagnosis,water quality,computer application,,
surveillance,qualitative reasoning,music,markov chain,cognitive model,framework,traffic control,information communication technology,,
intelligent manufacturing,pattern classification,history,computation,information fusion,frame,real time control,self organization,,
autonomous robot,radial basis function,science fiction,optimization technique,artificial intelligence medicine,risk assessment,energy consumption,behavior,,
virtual environment,training,philosophy mind,chaos,connectionism,parallel computing,optimal power flow,development,,
transportation,data fusion,formal language,fuzzy controller,knowledge representation reasoning,fuzzy logic control,photovoltaic system,computer assisted diagnosis,,
telemedicine,differential evolution,embodied cognition,heuristic algorithm,mathematics,surface roughness,power protection,world wide web,,
robocup,finite element,natural language understanding,distribution,explanation,prolog,solar energy,application expert system,,
environment,rough set theory,narrative,global optimization,knowledge representation formalism method,decision theory,inertial navigation,rule system,,
software tool,image classification,personality,efficiency,preference,matlab,collision avoidance,emergence,,
virtual world,gene expression programming,question answering,flood forecasting,relational database,answer set programming,task allocation,cognitive system,,
capp,analysis,cognitive psychology,energy efficiency,machine intelligence,sensor fusion,solar radiation,computer graphic,,
electronic commerce,graph,science,vibration,user modeling,credit scoring,production system,concurrent engineering,,
e commerce,adaptation,intuition,monte carlo tree search,recognition,automatic control,wind energy,network security,,
ds,qsar,synthetic biology,pid controller,sentiment analysis,clinical decision support,productivity,context awareness,,
agriculture,least square support vector machine,diabetes,parallel algorithm,agent modeling,electrocardiogram,planning scheduling,collaboration,,
interface,fuzzy set theory,culture,transient stability,denotational mathematics,discrete event system,wind power,crowdsourcing,,
social robot,extreme learning machine,wordnet,back propagation algorithm,nonmonotonic reasoning,quantum computing,assembly,ubiquitous computing,,
stock market,satisfiability,meaning,firefly algorithm,natural intelligence,construction,dynamic system,ambient assisted living,,
chess,abduction,kdd,particle swarm optimization algorithm,conceptual,multi agent simulation,fault location,personalization,,
event,bp neural network,cognitive,space,artificial intelligence general,granular computing,production scheduling,mechatronics,,
