0,1,2,3,4,5,6,7,8,9
253.0,630.0,243.0,916.0,404.0,2538.0,181.0,500.0,101.0,39.0
223.0,589.0,166.0,332.0,378.0,324.0,120.0,234.0,89.0,33.0
108.0,448.0,115.0,169.0,303.0,254.0,119.0,196.0,81.0,24.0
108.0,369.0,100.0,161.0,250.0,238.0,75.0,186.0,44.0,23.0
82.0,281.0,96.0,146.0,207.0,236.0,57.0,166.0,42.0,17.0
80.0,233.0,94.0,112.0,129.0,223.0,48.0,143.0,26.0,15.0
73.0,187.0,78.0,103.0,100.0,172.0,44.0,134.0,25.0,15.0
67.0,184.0,75.0,103.0,90.0,112.0,41.0,131.0,25.0,14.0
64.0,156.0,70.0,71.0,89.0,87.0,41.0,106.0,23.0,12.0
56.0,145.0,55.0,71.0,78.0,82.0,36.0,100.0,23.0,12.0
55.0,128.0,53.0,63.0,66.0,78.0,36.0,96.0,23.0,
54.0,124.0,50.0,54.0,66.0,75.0,35.0,88.0,21.0,
51.0,109.0,47.0,52.0,63.0,61.0,34.0,83.0,20.0,
49.0,103.0,45.0,52.0,56.0,60.0,31.0,73.0,16.0,
44.0,96.0,44.0,49.0,52.0,58.0,30.0,70.0,15.0,
42.0,92.0,41.0,48.0,52.0,52.0,30.0,70.0,15.0,
40.0,91.0,37.0,41.0,49.0,50.0,29.0,62.0,15.0,
39.0,79.0,36.0,40.0,48.0,50.0,28.0,59.0,15.0,
36.0,79.0,35.0,39.0,42.0,50.0,28.0,59.0,14.0,
35.0,69.0,35.0,34.0,40.0,49.0,27.0,57.0,13.0,
28.0,68.0,32.0,33.0,38.0,43.0,25.0,55.0,12.0,
28.0,60.0,30.0,31.0,38.0,41.0,23.0,54.0,12.0,
27.0,59.0,30.0,31.0,38.0,41.0,23.0,53.0,12.0,
26.0,58.0,29.0,30.0,36.0,41.0,23.0,50.0,11.0,
25.0,57.0,28.0,30.0,36.0,40.0,22.0,43.0,11.0,
24.0,56.0,28.0,30.0,35.0,40.0,21.0,41.0,11.0,
24.0,55.0,25.0,28.0,35.0,39.0,21.0,41.0,10.0,
22.0,52.0,25.0,28.0,34.0,39.0,21.0,41.0,10.0,
22.0,51.0,25.0,28.0,34.0,37.0,19.0,41.0,10.0,
22.0,48.0,24.0,27.0,33.0,37.0,19.0,41.0,10.0,
22.0,47.0,22.0,27.0,32.0,36.0,19.0,38.0,9.0,
22.0,47.0,22.0,25.0,32.0,35.0,18.0,37.0,9.0,
22.0,47.0,21.0,25.0,29.0,34.0,18.0,35.0,9.0,
21.0,43.0,21.0,23.0,28.0,34.0,18.0,32.0,9.0,
21.0,38.0,19.0,22.0,27.0,32.0,18.0,32.0,9.0,
20.0,38.0,19.0,21.0,27.0,32.0,17.0,30.0,,
20.0,38.0,19.0,21.0,26.0,32.0,17.0,30.0,,
19.0,38.0,19.0,21.0,25.0,31.0,17.0,29.0,,
19.0,36.0,18.0,20.0,25.0,31.0,17.0,28.0,,
19.0,34.0,18.0,20.0,24.0,29.0,16.0,28.0,,
19.0,33.0,17.0,19.0,24.0,28.0,16.0,28.0,,
18.0,33.0,17.0,19.0,24.0,27.0,16.0,27.0,,
18.0,33.0,17.0,19.0,24.0,25.0,15.0,27.0,,
18.0,33.0,17.0,18.0,24.0,25.0,14.0,27.0,,
17.0,32.0,17.0,17.0,24.0,25.0,14.0,27.0,,
17.0,31.0,17.0,17.0,22.0,25.0,14.0,26.0,,
17.0,31.0,15.0,16.0,22.0,23.0,14.0,26.0,,
17.0,30.0,15.0,16.0,22.0,23.0,14.0,25.0,,
17.0,29.0,15.0,16.0,21.0,23.0,13.0,25.0,,
16.0,29.0,15.0,16.0,21.0,22.0,13.0,25.0,,
16.0,29.0,15.0,16.0,21.0,22.0,13.0,25.0,,
16.0,29.0,15.0,16.0,21.0,21.0,13.0,24.0,,
16.0,28.0,14.0,16.0,21.0,20.0,13.0,24.0,,
15.0,28.0,14.0,15.0,21.0,20.0,12.0,23.0,,
15.0,28.0,14.0,15.0,21.0,19.0,12.0,23.0,,
15.0,28.0,14.0,15.0,20.0,19.0,12.0,23.0,,
15.0,28.0,13.0,15.0,20.0,19.0,12.0,22.0,,
14.0,27.0,13.0,14.0,20.0,18.0,12.0,22.0,,
14.0,26.0,13.0,14.0,20.0,18.0,12.0,22.0,,
14.0,25.0,13.0,14.0,20.0,18.0,12.0,21.0,,
14.0,24.0,13.0,14.0,20.0,18.0,12.0,21.0,,
13.0,24.0,13.0,13.0,19.0,18.0,12.0,21.0,,
13.0,24.0,12.0,13.0,19.0,18.0,12.0,20.0,,
13.0,24.0,12.0,12.0,18.0,17.0,12.0,20.0,,
13.0,23.0,12.0,12.0,18.0,17.0,12.0,20.0,,
13.0,23.0,12.0,12.0,18.0,17.0,11.0,20.0,,
12.0,23.0,12.0,12.0,18.0,17.0,11.0,19.0,,
12.0,23.0,12.0,12.0,18.0,17.0,11.0,19.0,,
12.0,23.0,12.0,12.0,17.0,16.0,11.0,19.0,,
12.0,23.0,11.0,12.0,17.0,15.0,11.0,19.0,,
12.0,23.0,11.0,12.0,16.0,15.0,11.0,19.0,,
12.0,23.0,11.0,12.0,16.0,15.0,10.0,19.0,,
12.0,22.0,11.0,11.0,16.0,15.0,10.0,19.0,,
12.0,22.0,10.0,11.0,16.0,15.0,10.0,18.0,,
12.0,22.0,10.0,11.0,16.0,15.0,10.0,18.0,,
11.0,22.0,10.0,11.0,15.0,15.0,10.0,17.0,,
11.0,22.0,10.0,11.0,15.0,15.0,10.0,17.0,,
11.0,22.0,10.0,11.0,15.0,14.0,10.0,17.0,,
11.0,22.0,10.0,11.0,15.0,14.0,10.0,17.0,,
11.0,22.0,9.0,11.0,15.0,14.0,10.0,17.0,,
11.0,21.0,9.0,10.0,15.0,14.0,10.0,17.0,,
11.0,21.0,9.0,10.0,15.0,14.0,9.0,17.0,,
11.0,21.0,9.0,10.0,15.0,14.0,9.0,17.0,,
11.0,21.0,9.0,10.0,15.0,14.0,9.0,16.0,,
10.0,20.0,9.0,10.0,14.0,14.0,9.0,16.0,,
10.0,20.0,9.0,10.0,14.0,14.0,9.0,16.0,,
10.0,20.0,9.0,9.0,14.0,14.0,9.0,16.0,,
10.0,20.0,9.0,9.0,14.0,14.0,9.0,16.0,,
10.0,19.0,9.0,9.0,14.0,13.0,9.0,15.0,,
10.0,19.0,9.0,9.0,14.0,13.0,9.0,15.0,,
10.0,19.0,,9.0,14.0,13.0,9.0,15.0,,
10.0,18.0,,9.0,14.0,13.0,9.0,15.0,,
9.0,18.0,,9.0,13.0,13.0,9.0,14.0,,
9.0,18.0,,9.0,13.0,12.0,9.0,14.0,,
9.0,18.0,,9.0,13.0,12.0,9.0,14.0,,
9.0,18.0,,9.0,13.0,12.0,,14.0,,
9.0,18.0,,9.0,12.0,12.0,,14.0,,
9.0,17.0,,,12.0,12.0,,14.0,,
9.0,17.0,,,12.0,12.0,,14.0,,
9.0,17.0,,,12.0,12.0,,14.0,,
9.0,17.0,,,12.0,12.0,,14.0,,
9.0,17.0,,,12.0,12.0,,14.0,,
9.0,16.0,,,12.0,12.0,,13.0,,
9.0,16.0,,,12.0,12.0,,13.0,,
9.0,16.0,,,12.0,12.0,,13.0,,
9.0,16.0,,,12.0,12.0,,13.0,,
9.0,16.0,,,12.0,12.0,,13.0,,
,16.0,,,12.0,12.0,,13.0,,
,16.0,,,12.0,12.0,,13.0,,
,15.0,,,12.0,12.0,,13.0,,
,15.0,,,12.0,11.0,,13.0,,
,15.0,,,11.0,11.0,,12.0,,
,15.0,,,11.0,11.0,,12.0,,
,15.0,,,11.0,11.0,,12.0,,
,15.0,,,11.0,11.0,,12.0,,
,14.0,,,11.0,11.0,,11.0,,
,14.0,,,11.0,10.0,,11.0,,
,14.0,,,11.0,10.0,,11.0,,
,14.0,,,11.0,10.0,,11.0,,
,14.0,,,10.0,10.0,,11.0,,
,14.0,,,10.0,10.0,,11.0,,
,14.0,,,10.0,10.0,,11.0,,
,14.0,,,10.0,10.0,,11.0,,
,14.0,,,10.0,10.0,,11.0,,
,13.0,,,10.0,10.0,,11.0,,
,13.0,,,10.0,10.0,,11.0,,
,13.0,,,10.0,10.0,,11.0,,
,13.0,,,10.0,10.0,,10.0,,
,13.0,,,9.0,10.0,,10.0,,
,13.0,,,9.0,10.0,,10.0,,
,13.0,,,9.0,10.0,,10.0,,
,13.0,,,9.0,10.0,,10.0,,
,13.0,,,9.0,10.0,,10.0,,
,13.0,,,9.0,10.0,,10.0,,
,13.0,,,9.0,9.0,,10.0,,
,13.0,,,9.0,9.0,,10.0,,
,12.0,,,9.0,9.0,,10.0,,
,12.0,,,9.0,9.0,,10.0,,
,12.0,,,9.0,9.0,,9.0,,
,12.0,,,9.0,9.0,,9.0,,
,12.0,,,9.0,9.0,,9.0,,
,12.0,,,9.0,9.0,,9.0,,
