0,1,2,3,4,5,6,7,8,9,10
machine learning,planning,robotics,support vector machine,ontology,decision making,genetic algorithm,artificial neural networks,expert system,expert,power
fuzzy logic,control,agent,simulation,knowledge,multi agent system,optimization,distributed artificial intelligence,knowledge system,reasoning,fpga
data mining,scheduling,internet thing,multi agent,human computer interaction,decision support system,algorithm,big data,intelligent agent,knowledge representation,energy
learning,smart grid,robot,decision support,knowledge engineering,automation,anfis,fault diagnosis,computer vision,natural language processing,routing
deep learning,adaptive control,game,convolutional neural networks,cognitive science,multiagent system,evolutionary algorithm,diagnosis,knowledge management,pattern recognition,mppt
classification,renewable energy,technology,particle swarm optimization,emotion,cloud computing,heuristic,computational intelligence,intelligent system,knowledge base,pid
reinforcement learning,safety,education,decision tree,computer,sensor,fuzzy set,swarm intelligence,intelligent tutoring system,semantic web,sat
modeling,photovoltaic,virtual reality,genetic programming,human robot interaction,intelligent control,ant colony optimization,information retrieval,software engineering,database,time
feature extraction,load forecasting,cybernetics,forecasting,ambient intelligence,security,optimisation,uncertainty,application,cognition,gps
prediction,optimal control,mobile robot,evolutionary computation,information,monitoring,random forest,computer aided,intelligent,intelligence,gpu
image processing,unmanned aerial vehicle,internet,rough set,consciousness,architecture,wavelet transform,game theory,information technology,text mining,pv
bayesian network,forecast,ethic,constraint satisfaction,bioinformatics,process control,search,geographic information,computer game,argumentation,monte carlo
modelling,strategy,autonomous agent,adaptive neuro fuzzy inference,artificial life,management,fuzzy,knowledge acquisition,information system,knowledge discovery,
clustering,energy efficiency,autonomy,recurrent neural networks,creativity,wireless sensor network,probability,self organizing map,innovation,semantics,
model,vehicle routing,smart city,soft computing,computer science,remote sensing,performance,artificial intelligence technique,communication,speech recognition,
feature selection,solar energy,industry,fuzzy control,medical informatics,path planning,hybrid,signal processing,user interface,face recognition,
multi layer perceptron,supply chain,chatbot,solving,embodiment,autonomous vehicle,logistic regression,turing test,information communication technology,sentiment analysis,
e learning,energy consumption,web,simulated annealing,context,real time,multi objective optimization,component,engineering,breast cancer,
principal component analysis,wind turbine,video game,logic programming,augmented reality,manufacturing,back propagation,social network analysis,intelligent tutoring,perception,
image classification,cloud,privacy,deep neural network,review,power system,hybrid model,intrusion detection,serious game,image recognition,
fuzzy inference,wind energy,smart home,time series,language,multiagent,entropy,cognitive computing,development,object recognition,
logic,power grid,telemedicine,tabu search,cancer,software,regression,computer aided diagnosis,self organization,medical diagnosis,
identification,efficiency,mind,condition monitoring,survey,negotiation,wavelet,integration,crowdsourcing,knowledge representation reasoning,
image segmentation,stock market,healthcare,fuzzy system,psychology,system,stability,machine vision,business intelligence,theory,
