0,1,2,3,4,5,6,7,8,9,10
1353.0,207.0,335.0,554.0,296.0,302.0,1079.0,3305.0,534.0,442.0,54.0
704.0,144.0,242.0,365.0,181.0,264.0,423.0,270.0,209.0,424.0,51.0
573.0,129.0,227.0,277.0,169.0,206.0,220.0,265.0,185.0,331.0,33.0
543.0,79.0,171.0,261.0,137.0,151.0,154.0,216.0,172.0,326.0,31.0
462.0,53.0,134.0,243.0,116.0,105.0,129.0,159.0,172.0,310.0,24.0
343.0,43.0,120.0,222.0,91.0,101.0,115.0,147.0,161.0,114.0,21.0
268.0,43.0,116.0,197.0,88.0,99.0,105.0,110.0,96.0,109.0,20.0
222.0,38.0,108.0,155.0,74.0,80.0,82.0,105.0,96.0,104.0,19.0
221.0,38.0,108.0,143.0,73.0,76.0,76.0,105.0,87.0,93.0,17.0
210.0,37.0,88.0,115.0,72.0,68.0,60.0,97.0,77.0,87.0,16.0
205.0,36.0,79.0,112.0,71.0,68.0,59.0,88.0,67.0,69.0,11.0
154.0,35.0,79.0,87.0,69.0,66.0,56.0,86.0,63.0,62.0,11.0
129.0,31.0,64.0,83.0,59.0,64.0,53.0,83.0,63.0,61.0,
120.0,29.0,60.0,81.0,57.0,64.0,49.0,78.0,58.0,60.0,
113.0,25.0,53.0,81.0,53.0,59.0,47.0,70.0,55.0,58.0,
108.0,25.0,47.0,78.0,50.0,54.0,45.0,64.0,48.0,56.0,
107.0,24.0,46.0,78.0,48.0,51.0,39.0,64.0,47.0,53.0,
95.0,23.0,40.0,69.0,48.0,50.0,38.0,63.0,45.0,52.0,
95.0,22.0,37.0,69.0,45.0,49.0,38.0,61.0,43.0,48.0,
89.0,21.0,37.0,68.0,41.0,46.0,37.0,61.0,38.0,47.0,
71.0,21.0,34.0,67.0,38.0,46.0,37.0,61.0,37.0,39.0,
68.0,21.0,34.0,66.0,37.0,45.0,36.0,61.0,36.0,37.0,
66.0,21.0,32.0,65.0,37.0,44.0,35.0,56.0,36.0,34.0,
66.0,21.0,32.0,62.0,36.0,43.0,35.0,52.0,35.0,32.0,
64.0,19.0,31.0,56.0,36.0,41.0,34.0,50.0,33.0,32.0,
64.0,19.0,30.0,56.0,35.0,41.0,33.0,50.0,31.0,32.0,
58.0,18.0,29.0,55.0,35.0,40.0,29.0,47.0,29.0,27.0,
55.0,17.0,29.0,53.0,34.0,39.0,29.0,44.0,29.0,27.0,
54.0,17.0,28.0,52.0,33.0,38.0,27.0,43.0,29.0,26.0,
51.0,16.0,27.0,48.0,32.0,38.0,27.0,41.0,29.0,26.0,
49.0,16.0,27.0,48.0,32.0,37.0,27.0,41.0,28.0,25.0,
49.0,15.0,26.0,47.0,32.0,37.0,25.0,40.0,27.0,25.0,
46.0,14.0,26.0,47.0,32.0,37.0,25.0,40.0,27.0,24.0,
46.0,14.0,26.0,42.0,31.0,37.0,23.0,39.0,26.0,23.0,
46.0,13.0,26.0,41.0,27.0,36.0,23.0,39.0,25.0,23.0,
46.0,12.0,25.0,41.0,26.0,34.0,22.0,38.0,25.0,22.0,
44.0,12.0,24.0,41.0,26.0,34.0,22.0,38.0,24.0,22.0,
42.0,12.0,24.0,40.0,24.0,33.0,21.0,37.0,23.0,22.0,
40.0,12.0,24.0,40.0,24.0,33.0,21.0,37.0,23.0,22.0,
40.0,12.0,23.0,39.0,24.0,33.0,20.0,36.0,21.0,22.0,
38.0,12.0,23.0,39.0,23.0,32.0,20.0,35.0,20.0,22.0,
38.0,12.0,23.0,39.0,23.0,32.0,19.0,34.0,20.0,22.0,
38.0,12.0,22.0,37.0,22.0,32.0,19.0,33.0,20.0,21.0,
37.0,12.0,21.0,36.0,22.0,32.0,18.0,32.0,19.0,21.0,
36.0,11.0,21.0,35.0,21.0,31.0,18.0,32.0,19.0,21.0,
35.0,11.0,20.0,35.0,21.0,30.0,18.0,31.0,19.0,21.0,
35.0,11.0,20.0,34.0,21.0,29.0,17.0,31.0,19.0,20.0,
34.0,11.0,20.0,34.0,20.0,29.0,17.0,30.0,19.0,20.0,
33.0,11.0,19.0,33.0,20.0,29.0,17.0,29.0,18.0,19.0,
33.0,10.0,18.0,33.0,19.0,29.0,16.0,28.0,18.0,19.0,
32.0,10.0,18.0,33.0,19.0,29.0,16.0,28.0,18.0,19.0,
32.0,10.0,18.0,32.0,19.0,27.0,16.0,28.0,18.0,19.0,
31.0,10.0,18.0,32.0,19.0,26.0,16.0,27.0,18.0,18.0,
31.0,10.0,18.0,32.0,18.0,26.0,15.0,27.0,17.0,18.0,
30.0,10.0,18.0,32.0,18.0,26.0,15.0,27.0,17.0,18.0,
29.0,10.0,18.0,31.0,18.0,26.0,15.0,27.0,17.0,18.0,
28.0,,17.0,31.0,18.0,25.0,15.0,26.0,17.0,18.0,
28.0,,16.0,30.0,18.0,25.0,15.0,26.0,16.0,17.0,
26.0,,16.0,29.0,17.0,25.0,14.0,26.0,16.0,17.0,
26.0,,16.0,28.0,17.0,24.0,14.0,26.0,16.0,17.0,
26.0,,16.0,28.0,16.0,24.0,14.0,26.0,16.0,16.0,
26.0,,16.0,28.0,16.0,24.0,14.0,26.0,15.0,15.0,
26.0,,16.0,27.0,16.0,23.0,14.0,26.0,15.0,15.0,
26.0,,16.0,27.0,16.0,23.0,14.0,25.0,15.0,15.0,
26.0,,16.0,27.0,16.0,23.0,14.0,25.0,15.0,15.0,
25.0,,16.0,27.0,16.0,22.0,13.0,25.0,14.0,15.0,
25.0,,16.0,27.0,15.0,22.0,13.0,25.0,14.0,14.0,
24.0,,15.0,27.0,15.0,22.0,13.0,25.0,14.0,14.0,
24.0,,15.0,26.0,15.0,21.0,13.0,24.0,14.0,14.0,
24.0,,15.0,26.0,14.0,21.0,13.0,24.0,14.0,14.0,
