terms,frequency
artificial neural networks,1393
genetic algorithm,501
expert system,428
fuzzy logic,304
expert,279
machine learning,267
reasoning,234
knowledge representation,229
data mining,215
distributed artificial intelligence,213
simulation,205
knowledge system,170
agent,152
optimization,152
decision support system,149
multi agent,140
decision support,138
multi agent system,127
decision making,119
knowledge,117
planning,114
ontology,113
intelligent agent,110
support vector machine,106
modeling,103
knowledge engineering,95
scheduling,89
decision tree,85
rough set,71
model,67
automation,59
multiagent system,58
