 ,alt
,i
,ii
artificial intelligence,ai
artificial intelligence,artificial intelligence ai
information technology,information technology it
social network analysis,sna
social network analysis,social network analysis sna
machine learning,ml
machine learning,machine learning ml
machine learning,machine learn ml
deep learning,dl
deep learning,deep learning dl
reinforcement learning,rl
reinforcement learning,reinforcement learn rl
reinforcement learning,reinforcement learning rl
artificial neural network,ann
artificial neural network,anns
artificial neural network,artificial neural networks
artificial neural network,artificial neural networks ann
artificial neural network,artificial neural network
artificial neural network,artificial neural network ann
convolutional neural network,convolutional neural networks
convolutional neural network,convolutional neural network cnn
convolutional neural network,convolutional neural networks cnn
convolutional neural network,cnn
convolutional neural network,cnns
neural network,nn
neural network,neural network nn
support vector machine,support vector machine svm
support vector machine,svm
multi layer perceptron,mlp
multi layer perceptron,multi layered perceptron
multi layer perceptron,multi-layer perceptron
multi layer perceptron,multi-layered perceptron
multi layer perceptron,multilayer perceptron
multi layer perceptron,multilayered perceptron
recurrent neural network,rnn
recurrent neural network,recurrent neural networks
recurrent neural network,recurrent neural network
k nearest neighbor,knn
neighbor,neighbour
principal component analysis,pca
optimization,optimisation
optimize,optimise
human computer interaction,human computer interaction hci
human computer interaction,hci
human computer interaction,human computer interfaces
computer aided design,cad
world wide web,www
semantic similarity,ss
natural language processing,nlp
deep reinforcement learning,drl
quality of experience,qoe
two-dimensional,2d
internet things,iot
quality service,qos
three dimensional,3d
quality control,qc
genetic algorithm,genetic algorithm ga
finite element,finite element fem
geographic information system,gis
hidden markov model,hmm
nuclear magnetic resonance,nmr
,ieee
electrocardiogram,ecg
electroencephalogram,eeg
unmanned aerial vehicle,uav
,et
,al
information communication technology,ict
information communication technology,information communication technology ict
optical character recognition,ocr
genetic algorithm,ga
particle swarm optimization,pso
differential evolution,de
adaptive neuro fuzzy inference system,anfis
case based reasoning,cbr
case based reasoning,case based reasoning cbr
geographic information system,gis
geographic information system,geographic information system gis
maximum power point tracker,mppt
maximum power point tracker,maximum power point tracker mppt
grid interfaced photovoltaic,gpv
grid interfaced photovoltaic,grid interfaced photovoltaic gpv
problem based learning,pbl
problem based learning,problem based learning pbl
monte carlo tree search,mcts
monte carlo tree search,monte carlo tree search mcts
question answering,qa
question answering,question answering qa
satisfiability problem,sat
satisfiability problem,satisfiability problem sat
