original,alt
artificial intelligence,ai
,(ai)
artificial intelligence,artificial intelligence ai
social network analysis,sna
,(sna)
social network analysis,social network analysis sna
machine learn,ml
,(ml)
machine learn,machine learning ml
machine learn,machine learn ml
reinforcement learn,rl
,(rl)
reinforcement learn,reinforcement learn rl
reinforcement learn,reinforcement learning rl
artificial neural network,ann
,(ann)
artificial neural network,anns
,(anns)
artificial neural network,nn
artificial neural network,artificial neural networks
artificial neural network,artificial neural networks ann
artificial neural network,artificial neural network
artificial neural network,artificial neural network ann
artificial neural network,neural network
artificial neural network,neural networks
convolutional neural network,convolutional neural networks
convolutional neural network,convolutional neural network cnn
convolutional neural network,convolutional neural networks cnn
convolutional neural network,cnn
,(cnn)
convolutional neural network,cnns
,(cnns)
,(svm)
support vector machine,support vector machine svm
support vector machine,svm
multi layer perceptron,mlp
multi layer perceptron,multi layered perceptron
multi layer perceptron,multi-layer perceptron
multi layer perceptron,multi-layered perceptron
multi layer perceptron,multilayer perceptron
multi layer perceptron,multilayered perceptron
recurrent neural network,rnn
recurrent neural network,recurrent neural networks
recurrent neural network,recurrent neural network
k nearest neighbor,knn
neighbor,neighbour
principal component analysis,pca
optimization,optimisation
optimize,optimise
,(hci)
human computer interaction,human computer interaction hci
human computer interaction,hci
human computer interaction,human computer interfaces
computer aided design,cad
,(cad)
world wide web,www
,(www)
semantic similar,ss
,(ss)
natural language process,nlp
,(nlp)
deep reinforcement learn,drl
,(drl)
quality of experience,qoe
,(qoe)
two-dimensional,2d
,(2d)
internet thing,iot
,(iot)
quality service,qos
,(qos)
three dimension,3d
,(3d)
quality control,qc
genetic algorithm,genetic algorithm ga
finite element,finite element fem
geographic information system,gis
hidden markov model,hmm
nuclear magnetic resonance,nmr
,ieee
electrocardiogram,ecg
electroencephalogram,eeg
unmanned aerial vehicle,uav
,et
,al
information communication technology,ict
optical character recognition,ocr
genetic algorithm,ga
particle swarm optimization,pso
differential evolution,de
